Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Romeo Is Bleeding,Peter Medak,Paul Webster,Gramercy Pictures,Dariusz Wolski,Gary Oldman,Lena Olin,Annabella Sciorra,Juliette Lewis,David Proval,Crime,1994,,3253102.0,10400000.0,10000000.0,Foreign-born,,,,,,1,1993,16,20,16,6,26
Romeo Is Bleeding,Peter Medak,Paul Webster,Gramercy Pictures,Dariusz Wolski,Gary Oldman,Lena Olin,Annabella Sciorra,Juliette Lewis,David Proval,Crime,1994,,3253102.0,10400000.0,10000000.0,Foreign-born,,,,,,1,1994,16,20,16,6,26
Serial Mom,John Waters,John Fiedler,Savoy Pictures,Robert M Stevens,Kathleen Turner,Sam Waterston,Ricki Lake,Matthew Lillard,Scott Wesley Morgan,Comedy,1994,,6796636.0,13500000.0,13000000.0,,,,,,,1,1994,12,22,21,18,2
Silent Fall,Bruce Beresford,James G. Robinson,Warner Bros.,Peter James,Richard Dreyfuss,Linda Hamilton,John Lithgow,J.T. Walsh,Ben Faulkner,Drama,1994,,2749381.0,15000000.0,,Foreign-born,Oceania,Australia,Male,Caucasian,,1,1994,5,6,21,0,28
Silent Tongue,Sam Shepard,Carolyn Pfeiffer,Trimark Pictures,Jack Conroy,Richard Harris,Sheila Tousey,Alan Bates,River Phoenix,Dermot Mulroney,Fantasy,1994,,,8500000.0,,,,,,,,1,1994,14,16,16,18,16
Sioux City,Lou Diamond Phillips,Brian Rix,IRS Releasing,James Wrenn,Lou Diamond Phillips,Ralph Waite,Melinda Dillon,Salli Richardson-Whitfield,Adam Roarke,Thriller,1994,,,3000000.0,,,,,,,,0,1994,15,9,17,1,2
Spanking the Monkey,David O. Russell,Dean Silvers,Fine Line Features,Michael Mayers,Jeremy Davies,Alberta Watson,Benjamin Hendrickson,Carla Gallo,Judette Jones,Comedy,1994,,1359087.0,80000.0,,Native-born,North America (US),US,Male,,,0,1994,14,0,5,5,37
Speechless,Ron Underwood,Renny Harlin,MGM,Don Peterman,Michael Keaton,Geena Davis,Christopher Reeve,Bonnie Bedelia,Ernie Hudson,Comedy,1994,,19612869.0,24000000.0,,Native-born,North America (US),US,,,,1,1994,21,5,17,21,36
Speed,Jan de Bont,Mark Gordon,20th Century Fox,Andrzej Bartkowiak,Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton,Jeff Daniels,Action,1994,,121221490.0,29500000.0,30000000.0,Foreign-born,,Dutch,,,161951855.0,1,1994,20,2,6,18,18
Squanto: A Warrior's Tale,Xavier Koller,Kathryn F Galan,Walt Disney,Robbie Greenberg,Adam Beach,Sheldon Peters Wolfchild,Irene Bedard,Eric Schweig,Leroy Peltier,Adventure,1994,,3342223.0,12500000.0,,Foreign-born,Europe,Switzerland,Male,Caucasian,,0,1994,19,13,20,18,44
Stargate,Roland Emmerich,Joel B. Michaels,MGM,Karl Walter Lindenlaub,Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors,Alexis Cruz,Action,1994,,70926023.0,52500000.0,55000000.0,Foreign-born,Europe,Germany,Male,Caucasian,125000000.0,1,1994,2,4,1,18,2
Street Fighter,Steven E. De Souza,Edward R. Pressman,Universal,William A Fraker,Jean-Claude van Damme,Raul Julia,Ming-Na Wen,Damian Chapa,Kylie Minogue,Action,1994,,33210975.0,41000000.0,35000000.0,,,,,,66000000.0,0,1994,17,1,8,5,2
Sugar Hill,Leon Ichaso,Rudy Langlais,20th Century Fox,Bojan Bazelli,Wesley Snipes,Khandi Alexander,DeVaughn Nixon,Marquise Wilson,O.L. Duke,Crime,1994,,18253955.0,12000000.0,10000000.0,Native-born,North America (US),US,,,151467.0,1,1994,16,16,18,18,32
Surviving the Game,Ernest Dickerson,David Permut,New Line Cinema,Bojan Bazelli,Ice-T,Rutger Hauer,Charles S. Dutton,Gary Busey,F. Murray Abraham,Action,1994,,7688072.0,8500000.0,,Native-born,North America (US),US,Male,,,1,1994,3,14,6,6,2
Suture,Scott McGehee,Scott McGehee,,Greg Gardiner,Dennis Haysbert,Mel Harris,Sab Shimono,Dina Merrill,David Graf,Experimental,1994,,98342.0,,,,,,,,,0,1993,5,6,1,4,13
The Air Up There,Paul Michael Glaser,Ted Field,Walt Disney,Dick Pope,Kevin Bacon,Charles Gitonga Maina,Winston Ntshona,"Mabutho ""Kid"" Sithole",Sean McCann,Comedy,1994,,20816098.0,15100000.0,,,,,,,,1,1994,8,16,22,18,2
The Chase,Adam Rifkin,Brad Wyman,20th Century Fox,Alan Jones,Charlie Sheen,Kristy Swanson,Henry Rollins,Josh Mostel,Wayne Grace,Action,1994,,8007720.0,12500000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1994,22,19,2,18,18
The Client,Joel Schumacher,Arnon Milchan,Warner Bros.,,Susan Sarandon,Tommy Lee Jones,Mary-Louise Parker,Anthony LaPaglia,J.T. Walsh,Drama,1994,,90841719.0,39800000.0,45000000.0,Native-born,North America (US),US,,,25500000.0,1,1994,6,20,11,11,2
The Cowboy Way,Gregg Champion,Brian Grazer,Universal,Dean Semler,Woody Harrelson,Kiefer Sutherland,Dylan McDermott,Ernie Hudson,Cara Buono,Action,1994,,19636765.0,22600000.0,,Native-born,North America (US),US,,,,1,1994,5,6,2,20,11
The Crew,Carl-Jan Colpaert,Adam Stern,Cineville International,Geza Sinkovics,Donal Logue,Viggo Mortensen,Pamela Gidley,Jeremy Sisto,Laura Del Sol,Other,1994,,,2000000.0,,Foreign-born,,,,,,1,2000,3,14,9,8,37
The Crew,Michael Dinner,Barry Sonnenfeld,Walt Disney,Juan Ruiz-Anchia,Richard Dreyfuss,Burt Reynolds,Dan Hedaya,Seymour Cassel,Carrie-Anne Moss,Action,2000,3.0,13019253.0,26950000.0,23000000.0,Native-born,North America (US),US,,,,1,2000,3,14,9,8,37
The Crow,Alex Proyas,Edward R. Pressman,Dimension Films,Dariusz Wolski,Brandon Lee,Michael Wincott,Rochelle Davis,Ernie Hudson,David Patrick Kelly,Action,1994,,47300389.0,14000000.0,,Foreign-born,Africa,Egypt,Male,Caucasian,454659.0,0,1994,6,20,13,18,29
The Favor,Donald Petrie,Lauren Shuler Donner,Alliance Films,Timothy Suhrstedt,Harley Jane Kozak,Elizabeth McGovern,Bill Pullman,Brad Pitt,Larry Miller,Comedy,1994,,2566318.0,12900000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1994,0,0,17,8,0
The Favor,Eva Aridjis,Eva Aridjis,Seventh Art Releasing,Andrij Parekh,Frank Wood,Ryan Donowho,Isidra Vega,Paige Turco,Michael Higgins,Drama,2008,2.0,,,,Foreign-born,,,,,,0,1994,0,0,17,8,0
The Flintstones,Brian Levant,Bruce Cohen,Universal,Dean Cundey,John Goodman,Elizabeth Perkins,Rick Moranis,Rosie O'Donnell,Kyle MacLachlan,Animated,1994,,130474110.0,55500000.0,45000000.0,Native-born,North America (US),US,Male,Caucasian,227968792.0,1,1994,13,18,17,12,32
The Getaway,Roger Donaldson,David Foster,Universal,Peter Menzies Jr.,Alec Baldwin,Kim Basinger,Michael Madsen,James Woods,David Morse,Action,1994,,15513510.0,25000000.0,,Foreign-born,Oceania,Australia,Male,Caucasian,,1,1994,13,18,13,13,7
The House of the Spirits,Bille August,Bernd Eichinger,Miramax,Jorgen Persson,Jeremy Irons,Meryl Streep,Glenn Close,Winona Ryder,Antonio Banderas,Adaptation,1994,,,24700000.0,,Foreign-born,Europe,Denmark,Male,Caucasian,,1,1993,18,10,6,6,2
The Hudsucker Proxy,Joel Coen,Ethan Coen,Warner Bros.,Roger Deakins,Tim Robbins,Jennifer Jason Leigh,Paul Newman,Charles Durning,John Mahoney,Comedy,1994,,2074224.0,34500000.0,40000000.0,Native-born,North America (US),US,Male,Caucasian,12121631.0,1,1994,10,17,6,18,2
The Inkwell,Matty Rich,Irving Azoff,Walt Disney,John Njaga Demps,Larenz Tate,Joe Morton,Suzzanne Douglas,Glynn Turman,Vanessa Bell Calloway,Romance,1994,,8879581.0,5000000.0,8000000.0,,,,,,,0,1994,12,22,21,18,2
The Land Before Time II: The Great Valley Adventure,Roy Allen Smith,Roy Allen Smith,,,,,,,,Animated,1994,,,,,Native-born,North America (US),US,,,,0,1994,19,13,14,18,18
The Last Seduction,John Dahl,Jonathan Shestack,October Films,Jeffrey Jur,Linda Fiorentino,Peter Berg,J.T. Walsh,Bill Nunn,Bill Pullman,Thriller,1994,,1821108.0,2600000.0,,Native-born,North America (US),US,,,,1,1994,5,6,16,6,2
The Lion King,Roger Allers,Don Hahn,Walt Disney,,,,,,,Animated,1994,,94240635.0,42500000.0,79300000.0,Native-born,North America (US),US,Male,Caucasian,564429585.0,0,1994,19,13,15,18,2
The Little Rascals,Penelope Spheeris,Michael King,Universal,Richard Bowen,Travis Tedford,Bug Hall,Brittany Ashton Holmes,Kevin Jamal Woods,Zachary Mabry,Adventure,1994,,51742905.0,22600000.0,,Native-born,North America (US),US,,,15183000.0,0,1994,19,18,6,5,2
The Mask,Chuck Russell,Robert E. Engelman,Alliance Films,John R. Leonetti,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,Amy Yasbeck,Action,1994,,119936108.0,18000000.0,18000000.0,Native-born,North America (US),US,Male,Caucasian,231700000.0,1,1994,20,2,6,5,2
The Next Karate Kid,Christopher Cain,Jerry Weintraub,Sony Pictures,Laszlo Kovacs,Pat Morita,Hilary Swank,Michael Ironside,Constance Towers,Michael Cavalieri,Action,1994,,8735777.0,14000000.0,,,,,,,7100000.0,1,1994,1,15,10,18,2
The Pagemaster,Joe Johnston,David M. Kirschner,20th Century Fox,Alexander Gruszynski,Macaulay Culkin,Ed Begley Jr.,Mel Harris,Christopher Lloyd,Patrick Stewart,Adventure,1994,,11992698.0,34000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1994,19,13,18,13,37
The Paper,Ron Howard,Brian Grazer,Universal,John Seale,Michael Keaton,Robert Duvall,Glenn Close,Marisa Tomei,Randy Quaid,Comedy,1994,,36584490.0,31000000.0,,Native-born,North America (US),US,Male,Caucasian,9600000.0,1,1994,20,2,6,18,2
The Puppet Masters,Stuart Orme,Ralph Winter),Walt Disney,,Donald Sutherland,Eric Thal,Julie Warner,Keith David,Will Patton,Adaptation,1994,,8647042.0,6000000.0,,,,,,,,1,1994,3,14,6,18,2
The Ref,Ted Demme,Ron Bozman,Walt Disney,Adam Kimmel,Denis Leary,Judy Davis,Kevin Spacey,Robert J Steinmiller Jr.,Glynis Johns,Action,1994,,11310953.0,12000000.0,,Native-born,North America (US),US,,,1000000.0,1,1994,20,3,6,18,33
The River Wild,Curtis Hanson,David Foster,Universal,Robert Elswit,Meryl Streep,Joseph Mazzello,Stephanie Sawyer,Buffy,David Strathairn,Action,1994,,46451705.0,42500000.0,45000000.0,Native-born,North America (US),US,,,47400000.0,1,1994,19,4,6,18,25
The Road to Wellville,Alan Parker,Robert F Colesberry,Sony Pictures,Peter Biziou,Anthony Hopkins,Bridget Fonda,Matthew Broderick,John Cusack,Dana Carvey,Comedy,1994,,6487257.0,21500000.0,,Foreign-born,,,Male,,,1,1994,14,16,7,18,2
The Santa Clause,John Pasquin,Brian Reilly,Walt Disney,Walt Lloyd,Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd,David Krumholtz,Adventure,1994,,144830708.0,12500000.0,22000000.0,Native-born,North America (US),US,,,44966643.0,1,1994,19,3,6,18,32
The Scout,Michael Ritchie,Albert S Ruddy,20th Century Fox,Laszlo Kovacs,Albert Brooks,Brendan Fraser,Dianne Wiest,Lane Smith,Michael Rapaport,Comedy,1994,,2631391.0,8500000.0,,Native-born,North America (US),US,,,,1,1994,7,21,10,18,2
The Shadow,Russell Mulcahy,Martin Bregman,Universal,Stephen H Burum,Alec Baldwin,John Lone,Penelope Ann Miller,Peter Boyle,Ian McKellen,Action,1994,,31951990.0,34500000.0,40000000.0,Foreign-born,Oceania,Australia,Male,Caucasian,,1,1994,19,13,6,5,2
The Shawshank Redemption,Frank Darabont,Niki Marvin,Sony Pictures,Roger Deakins,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Drama,1994,,27318280.0,25000000.0,25000000.0,Foreign-born,,,,,175591.0,1,1994,13,18,8,18,18
The Specialist,Luis Llosa,Jerry Weintraub,Warner Bros.,Jeffrey L Kimball,Sylvester Stallone,Sharon Stone,James Woods,Rod Steiger,Eric Roberts,Action,1994,,55210742.0,45000000.0,45000000.0,Foreign-born,,Peruvian,,,113000000.0,1,1994,16,20,16,18,2
The Stoned Age,James Melkonian,Neal H. Moritz,Trimark Pictures,Paul Holahan,Michael Kopelow,Bradford Tatum,China Kantner,Clifton Collins Jr.,Frankie Avalon,Comedy,1994,,,,,Native-born,North America (US),US,,,,0,1994,20,2,6,18,2
The Swan Princess,Richard Rich,Jared F Brown,New Line Cinema,,Liz Callaway,Davis Gaines,,,,Adventure,1994,,9760037.0,32500000.0,,Native-born,North America (US),US,Male,,,0,1994,21,5,21,5,18
The War,Jon Avnet,Jon Avnet,Universal,Geoffrey Simpson,Elijah Wood,Kevin Costner,Mare Winningham,Lexi Faith Randall,LaToya Chisholm,Adventure,1994,,16480770.0,,,,,,,,,1,1994,18,10,10,18,18
Threesome,Andrew Fleming,Brad Krevoy,TriStar Pictures,Alexander Gruszynski,Lara Flynn Boyle,Stephen Baldwin,Josh Charles,Alexis Arquette,Martha Gehman,Comedy,1994,,14047287.0,3000000.0,,Native-born,North America (US),US,Male,,,0,1994,21,5,1,8,0
Timecop,Peter Hyams,Moshe Diamant,Universal,Peter Hyams,Jean-Claude van Damme,Mia Sara,Ron Silver,Bruce McGill,Gloria Reuben,Action,1994,,44327925.0,30500000.0,28000000.0,,,,,,57200000.0,0,1994,16,13,6,18,2
To the Limit,Raymond Martino,Joey Travolta,,Henryk Tzvi Cymerman,Anna Nicole Smith,Joey Travolta,John Aprea,David Proval,Branscombe Richmond),Action,1995,,,,,,,,,,,0,1995,8,8,5,5,2
Tom & Viv,Brian Gilbert,Marc Samuelson,Les Films Rene Malo,Martin Fuhrer,Willem Dafoe,Miranda Richardson,Rosemary Harris,Tim Dutton,Nickolas Grace,Adaptation,1994,,48644.0,7000000.0,,,,,,,,1,1994,11,0,7,12,5
Totally F***ed Up,Gregg Araki,Andrea Sperling,Strand Releasing,Gregg Araki,James Duval,Roko Belic,Susan Behshid,Jenee Gill,Gilbert Luna,Comedy,1994,,13908.0,2000000.0,,,,,,,,0,1993,11,12,7,10,30
Trapped in Paradise,George Gallo,Jon Davison,20th Century Fox,Jack N Green,Nicolas Cage,Dana Carvey,Jon Lovitz,Mädchen Amick,Donald Moffat,Comedy,1994,,5821500.0,29500000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1994,13,19,6,5,2
True Lies,James Cameron,James Cameron,20th Century Fox,Russell Carpenter),Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,Tia Carrere,Action,1994,,146273950.0,105000000.0,100000000.0,Foreign-born,North America (Canada),Canada,Male,,219017589.0,1,1994,2,4,2,6,2
Wagons East!,Peter Markle,Gary Goodman,TriStar Pictures,Frank Tidy,John Candy,Richard Lewis,John C. McGinley,Ellen Greene,Robert Picardo,Comedy,1994,,3730712.0,18000000.0,,Native-born,North America (US),US,,,,1,1994,9,7,20,14,2
Wes Craven's New Nightmare,Wes Craven,Marianne Maddalena,New Line Cinema,Mark Irwin),J.F. Davis,Miko Hughes,Matt Winston,Rob LaBelle,David Newsom,Horror,1994,,18088632.0,8000000.0,8000000.0,,,,,,,0,1994,11,12,10,18,19
White Fang 2: Myth of the White Wolf,Ken Olin,Preston Fischer,Walt Disney,Hiro Narita,Scott Bairstow,Charmaine Craig,Al Harrington,Anthony Ruivivar,Victoria Racimo,Adventure,1994,,8733565.0,11000000.0,,Native-born,North America (US),US,,,,0,1994,19,17,6,18,2
Who Do I Gotta Kill?,Frank Rainone,Frank Rainone,Arrow Releasing,Adam Kimmel,Sandra Colosimo,James Lorinz,Stephen Lee,Lori Rachal,Sandra Bullock,Comedy,1994,,,,,,,,,,,1,1992,7,21,5,22,18
With Honors,Alek Keshishian,Paula Weinstein,Warner Bros.,Sven Nykvist,Joe Pesci,Brendan Fraser,Moira Kelly,Patrick Dempsey,Josh Hamilton,Comedy,1994,,17995601.0,18000000.0,,,,,,,,1,1994,10,17,6,6,2
Wolf,Mike Nichols,Douglas Wick,Sony Pictures,Giuseppe Rotunno,Jack Nicholson,Michelle Pfeiffer,James Spader,Kate Nelligan,Richard Jenkins,Drama,1994,,65002597.0,49300000.0,70000000.0,Native-born,North America (US),US,,,66000000.0,1,1994,16,6,1,18,2
Wyatt Earp,Lawrence Kasdan,Jim Wilson,Warner Bros.,Owen Roizman,Kevin Costner,Dennis Quaid,Gene Hackman,David Andrews,Linden Ashby,Action,1994,,24588437.0,47500000.0,,Native-born,North America (US),US,,,,1,1994,10,21,6,6,2
3 Ninjas Knuckle Up,Sang-ok Shin,Martha Chang,TriStar Pictures,Eugene Shlugleit,Victor Wong,Charles Napier,Michael Treanor,Max Elliot Slade,Chad Power,Action,1995,,67789.0,15000000.0,,,,,,,,0,1995,4,11,14,18,2
A Goofy Movie,Kevin Lima,Dan Rounds,Walt Disney,,Dante Basco,Pat Carroll,Sheryl Bernstein,Steve Oscar Moore,E. G. Daily,Animated,1995,,35348597.0,21500000.0,,Native-born,North America (US),US,,,,0,1995,22,16,20,18,24
A Kid in King Arthur's Court,Michael Gottlieb,Robert L. Levy,Walt Disney,Elemer Ragalyi,Thomas Ian Nicholas,Joss Ackland,Art Malik,Paloma Baeza,Kate Winslet,Adventure,1995,,13402111.0,6000000.0,,Native-born,North America (US),US,,,340562.0,1,1995,7,21,10,18,30
A Little Princess,Alfonso Cuarón,Mark Johnson,Warner Bros.,Emmanuel Lubezki,Eleanor Bron,Liam Cunningham,Liesel Matthews,Rusty Schwimmer,Arthur Malet,Family,1995,,8959170.0,20000000.0,,Foreign-born,Latin America,Mexico,Male,Latinx/Hispanic,,0,1995,4,15,6,0,2
A Walk in the Clouds,Alfonso Arau,Gil Netter,20th Century Fox,Emmanuel Lubezki,Keanu Reeves,Aitana Sanchez-Gijon,Anthony Quinn,Giancarlo Giannini,Angélica Aragón,Drama,1995,,47994646.0,31000000.0,,Foreign-born,,Mexican,,,,1,1995,12,22,8,18,2
Ace Ventura: When Nature Calls,Steve Oedekerk,James G. Robinson,Warner Bros.,Donald E. Thorin,,,,,,Adventure,1995,,107544540.0,55000000.0,30000000.0,Native-born,North America (US),US,,,104039937.0,0,1995,19,13,8,5,2
Amateur,Hal Hartley,Ted Hope,Sony Pictures,Michael Spiller,Isabelle Huppert,Martin Donovan,Elina Löwensohn,Damian Young,Chuck Montgomery,Romance,1995,,36214.0,2300000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1994,20,2,21,18,2
Angus,Patrick Read Johnson,Dawn Steel,Alliance Films,Alexander Gruszynski,George C Scott,Chris Owen,Ariana Richards,Anna Thomson,Charlie Talbert-Spiller,Adaptation,1995,,4820085.0,5000000.0,,Native-born,North America (US),US,,,,0,1995,1,15,6,18,2
Apollo 13,Ron Howard,Brian Grazer,Universal,Dean Cundey,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris,Drama,1995,,1766085.0,75000000.0,65000000.0,Native-born,North America (US),US,Male,Caucasian,162029504.0,1,1995,0,17,13,18,2
Arizona Dream,Emir Kusturica,Claudie Ossard,Kit Parker Films,Vilko Filac,Johnny Depp,Jerry Lewis,Faye Dunaway,Lili Taylor,Paulina Porizkova,Comedy,1995,,,18000000.0,,Foreign-born,Europe,Bosnia And Herzegovina,Male,Caucasian,,1,1993,0,3,15,18,2
Assassins,Richard Donner,Richard Donner,Warner Bros.,Vilmos Zsigmond,Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoly Davydov,Muse Watson,Action,1995,,29454844.0,50000000.0,50000000.0,Native-born,North America (US),US,,,53000000.0,1,1995,6,20,21,4,44
At First Sight,Steven Pearl,Craig M Saavedra,Vidmark Entertainment,Glenn Kershaw,Dan Cortese,Jonathan Silverman,Allison Smith,Monte Markham),Kathleen Freeman,Comedy,1995,,,2500000.0,,,,,,,,0,1999,4,11,20,18,2
At First Sight,Irwin Winkler,Irwin Winkler,MGM,John Seale,Val Kilmer,Mira Sorvino,Kelly McGillis,Steven Weber,Bruce Davison,Adaptation,1999,,22356800.0,46200000.0,,Native-born,North America (US),US,,,,1,1999,4,11,20,18,2
Bad Boys,Michael Bay,Don Simpson,Sony Pictures,Howard Atherton,Martin Lawrence,Will Smith,Téa Leoni,Theresa Randle,Tchéky Karyo,Action,1995,,63909424.0,22000000.0,23000000.0,Native-born,North America (US),US,Male,Caucasian,75600000.0,1,1995,6,4,21,18,2
Bad Company,Damian Harris,Amedeo Ursini,Walt Disney,Jack N Green,Ellen Barkin,Laurence Fishburne,Frank Langella,Michael Beach,Gia Carides,Thriller,1995,,3672350.0,17000000.0,,Foreign-born,Europe,United Kingdom,Male,Caucasian,,1,1995,5,6,5,10,2
Bad Company,Joel Schumacher,Jerry Bruckheimer,Walt Disney,Dariusz Wolski,Anthony Hopkins,Chris Rock,Kerry Washington,Peter Stormare,Garcelle Beauvais,Action,2002,2.0,30157016.0,70000000.0,70000000.0,Native-born,North America (US),US,,,39000000.0,1,1995,5,6,5,10,2
Balto,Simon Wells,Steve Hickner,Universal,Jan Richter-Friis,Micheal McShane,Miriam Margolyes,Austin Tichenor,Reed Martin,Adam Long,Adventure,1995,,11249665.0,31000000.0,,Foreign-born,,,,,,0,1995,19,13,12,18,2
Batman Forever,Joel Schumacher,Tim Burton,Warner Bros.,Stephen Goldblatt,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,Chris O'Donnell,Action,1995,,182548832.0,95000000.0,100000000.0,Native-born,North America (US),US,,,152498032.0,1,1995,6,20,6,20,2
Before Sunrise,Richard Linklater,Anne Walker-McBay,Sony Pictures,Lee Daniel,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Poschl,Karl Bruckschwaiger,Romance,1995,,4724837.0,6100000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1995,0,17,19,20,2
Best of the Best 3: No Turning Back,,,,,Phillip Rhee,Gina Gershon,,,,Action,1995,,,,,,,,,,,0,1996,9,7,11,5,2
Beyond Rangoon,John Boorman,Barry Spikings,Sony Pictures,John Seale,Patricia Arquette,U Aung Ko,Frances McDormand,Spalding Gray,Tiara Jacquelina,Action,1995,,5144093.0,5700000.0,,Foreign-born,Europe,United Kingdom,Male,Caucasian,,1,1995,9,7,6,18,7
Billy Madison,Tamra Davis,Robert Simonds,Universal,Victor Hammer,Adam Sandler,Darren McGavin,Bridgette Wilson-Sampras,Bradley Whitford,Josh Mostel,Comedy,1995,,25441250.0,12000000.0,,Native-born,North America (US),US,,,,1,1995,1,15,6,18,2
Blue in the Face,Wayne Wang,Peter Newman,Alliance Films,Adam Holender,Harvey Keitel,Roseanne Barr,Michael J. Fox,Lily Tomlin,Mel Gorham,Comedy,1995,,586336.0,50000.0,,Foreign-born,Asia,Hong Kong,Male,Asian,,1,1995,11,12,21,22,4
Born to Be Wild,John Gray,Robert Newmyer,Warner Bros.,Donald M Morgan,Wil Horneff,Helen Shaver,John C. McGinley,Peter Boyle,Jean Marie Barnwell,Adventure,1995,,3317247.0,33500000.0,,,,,,,,0,1995,15,9,1,22,22
Boys on the Side,Herbert Ross,Arnon Milchan,,Donald E. Thorin,Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,Matthew McConaughey,James Remar,Comedy,1995,,22212760.0,29000000.0,,Native-born,North America (US),US,,,,1,1995,10,3,21,18,15
Braveheart,Mel Gibson,Mel Gibson,Paramount Pictures,John Toll,Mel Gibson,Sophie Marceau,Patrick McGoohan,Catherine McCormack,James Robinson,Action,1995,,75545647.0,72000000.0,72000000.0,Native-born,North America (US),US,Male,Caucasian,133499597.0,1,1995,14,16,4,5,2
Bushwhacked,Greg Beeman,Paul Schiff,20th Century Fox,Theo van de Sande,Daniel Stern,Jon Polito,Brad Sullivan,Ann Dowd,Anthony Heald,Adventure,1995,,6885935.0,18000000.0,,,,,,,,0,1995,2,13,13,11,21
Campfire Tales,David Semel,Eric Manes,,John Peters,Jay R. Ferguson,Christine Taylor,Christopher Masterson,Kim Murphy,Ron Livingston,Other,1996,,,,,Native-born,North America (US),US,,,,1,1997,16,14,11,0,16
Canadian Bacon,Michael Moore,Michael Moore,Gramercy Pictures,Haskell Wexler,Alan Alda,John Candy,Rhea Perlman,Kevin Pollak,Rip Torn,Comedy,1995,,133661.0,8700000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1995,19,13,16,18,2
Casper,Brad Silberling,Colin Wilson,Universal,Dean Cundey,Christina Ricci,Bill Pullman,Cathy Moriarty,Eric Idle,Garette Ratliff Henson,Comedy,1995,,100237375.0,50000000.0,55000000.0,Native-born,North America (US),US,Male,Caucasian,181971806.0,1,1995,4,11,21,18,16
"Clean, Shaven",Lodge Kerrigan,Lodge Kerrigan,Strand Releasing,Teodoro Maniaci),Peter Greene,Molly Castelloe,Megan Owen,Robert Albert,Jennifer Macdonald,Drama,1995,,,60000.0,,Native-born,North America (US),US,,,,0,1994,22,19,8,20,2
Clockers,Spike Lee,Spike Lee,Universal,Malik Hassan Sayeed,Harvey Keitel,John Turturro,Delroy Lindo,Mekhi Phifer,Isaiah Washington,Adaptation,1995,,12963125.0,25600000.0,,Native-born,North America (US),US,Male,Black or African American,,1,1995,16,19,8,18,4
Clueless,Amy Heckerling,Scott Rudin,Paramount Pictures,Bill Pope,,,,,,Comedy,1995,,56190000.0,12700000.0,13700000.0,Native-born,North America (US),US,,,1322148.0,0,1995,1,15,17,18,37
Coldblooded,Wallace Wolodarsky,Michael J. Fox,IRS Releasing,Robert Yeoman,Jason Priestley,Kimberly Williams-Paisley,Peter Riegert,Robert Loggia,Janeane Garofalo,Comedy,1995,,8423.0,5000000.0,,Native-born,North America (US),US,,,,0,1995,21,5,13,11,44
Congo,Frank Marshall,Kathleen Kennedy,Paramount Pictures,Allen Daviau,Dylan Walsh,Laura Linney,Ernie Hudson,Tim Curry,Grant Heslov,Action,1995,,80131876.0,60000000.0,50000000.0,Native-born,North America (US),US,,,71000000.0,1,1995,9,3,8,18,20
Copycat,Jon Amiel,Arnon Milchan,Warner Bros.,Laszlo Kovacs,Sigourney Weaver,Holly Hunter,Dermot Mulroney,"William ""Billy"" McNamara",Harry Connick Jr.,Action,1995,,31310128.0,25000000.0,,Foreign-born,,British,,,,1,1995,6,20,16,15,0
Crimson Tide,Tony Scott,Don Simpson,Walt Disney,Dariusz Wolski,,,,,,Action,1995,,91381194.0,53000000.0,55000000.0,Foreign-born,,,,,68000000.0,0,1995,2,13,17,18,2
"Cry, the Beloved Country",Darrell James Roodt,Anant Singh,Alliance Films,Paul Gilpin,Richard Harris,James Earl Jones,Charles S. Dutton,Vusi Kunene,Leleti Khumalo,Crime,1995,,337194.0,3200000.0,,Foreign-born,Africa,South Africa,Male,Black or African American,,1,1995,14,14,16,2,34
Cutthroat Island,Renny Harlin,Renny Harlin,MGM,Peter Levy,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Action,1995,,8768343.0,92000000.0,,Foreign-born,Europe,Finland,Male,Caucasian,,1,1995,2,13,6,6,2
