Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
American Beauty,Sam Mendes,Bruce Cohen,Dreamworks SKG,Conrad L. Hall,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari,Comedy,1999,,130058047.0,17600000.0,15000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,226200000.0,1,1999,14,3,6,18,2
American Pie,Paul Weitz,Chris Weitz,Universal,Richard Crudo,Jason Biggs,Jennifer Coolidge,Shannon Elizabeth,Alyson Hannigan,Chris Klein,Comedy,1999,,101736215.0,13200000.0,12000000.0,Native-born,North America (US),US,Male,Caucasian,132922200.0,1,1999,1,15,6,18,2
Analyze This,Harold Ramis,Jane Rosenthal,Warner Bros.,Stuart Dryburgh,Billy Crystal,Robert De Niro,Lisa Kudrow,Chazz Palminteri,Bill Macy,Comedy,1999,,106823373.0,48000000.0,30000000.0,,,,,,70000000.0,1,1999,6,20,10,7,2
Anna and the King,Andy Tennant,Lawrence Bender,20th Century Fox,Caleb Deschanel,Jodie Foster,Chow Yun-Fat,Bai Ling,Tom Felton,Syed Alwi,Drama,1999,,39251128.0,83600000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1999,3,14,6,18,2
Any Given Sunday,Oliver Stone,Lauren Shuler Donner,Warner Bros.,Salvatore Totino,Al Pacino,Cameron Diaz,Dennis Quaid,James Woods,Jamie Foxx,Action,1999,,75530832.0,61600000.0,60000000.0,Native-born,North America (US),US,Male,Caucasian,24700000.0,1,1999,8,8,20,22,2
Arlington Road,Mark Pellington,Peter Samuelson,Sony Pictures,Bobby Bukowski,Jeff Bridges,Tim Robbins,Joan Cusack,Hope Davis,Robert Gossett,Action,1999,,24362501.0,20240000.0,21500000.0,Native-born,North America (US),US,Male,Caucasian,,1,1999,14,4,21,18,2
B. Monkey,Michael Radford,,Miramax,,Asia Argento,Jared Harris,Rupert Everett,Jonathan Rhys Meyers,Juliet Wallace,Adaptation,1999,,34524.0,7093750.0,,Foreign-born,Asia,India,Male,,,1,1998,7,21,11,5,27
Baby Geniuses,Bob Clark,Steven Paul,TriStar Pictures,Stephen M Katz,Kathleen Turner,Christopher Lloyd,Kim Cattrall,Peter MacNicol,Dom DeLuise,Adventure,1999,,27141959.0,44000000.0,,Native-born,North America (US),US,,,,1,1999,19,17,14,7,10
Bats,Louis Morneau,Brad Jenkel,Destination,George Mooradian,Lou Diamond Phillips,Dina Meyer,Bob Gunton,Leon Robinson,Carlos Jacott,Horror,1999,,10149779.0,12000000.0,,Native-born,North America (US),US,,,,0,1999,6,20,16,18,2
Beautiful Joe,Stephen Metcalfe,Steven Haft,Stratosphere Entertainment,Thomas Ackerman,Billy Connolly,Sharon Stone,Ian Holm,Gil Bellows,Barbara Tyson,Drama,2000,,,20000000.0,,Native-born,North America (US),US,,,,1,2000,13,18,3,18,15
Being John Malkovich,Spike Jonze,Michael Stipe,Gramercy Pictures,Lance Acord,John Malkovich,John Cusack,Cameron Diaz,Ned Bellamy,Eric Weinstein,Comedy,1999,,22858926.0,12500000.0,,Native-born,North America (US),US,,,,1,1999,19,13,21,5,0
