Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo
All In,Nick Vallelonga,James Quattrochi,NA,Jeff Baustert,Michelle Lombardo,Dominique Swain,Michael Madsen,Louis Gossett Jr.,Colleen Porch,Drama,2006,1,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
All the Days Before Tomorrow,Francois Dompierre,Francois Dompierre,NA,Gavin Kelly),Joey Kern,Alexandra Holden,Richard Roundtree,Matthew H Braaten,Montre Burton,Comedy,2006,NA,NA,NA,NA,Foreign-born,NA,NA,NA,NA,NA
All The King's Men,Steven Zaillian,Mike Medavoy,Sony Pictures,Pawel Edelman,Sean Penn,Jude Law,Kate Winslet,Mark Ruffalo,Anthony Hopkins,Drama,2006,3,7221458,5.50E+07,NA,Native-born,North America (US),US,NA,NA,NA
Almost Guys,Eric Fleming,Andrea Michaud,Karma Films,Brian Hoodenpyle,Eric Fleming,James Edson,Robert Culp,Shawnee Smith,Oliver Davis,Comedy,2006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alternative Freedom,Twila Raftu,Shaun Cronin,Project Free Zarathustra,NA,NA,NA,NA,NA,NA,Documentary,2006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
America: Freedom to Fascism,Aaron Russo,Aaron Russo,Cinema Libre Studio,James Salisbury,NA,NA,NA,NA,NA,Documentary,2006,3,61200,1.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
American Blackout,Ian Inaba,Anastasia King,NA,NA,Cynthia McKinney,Greg Palast,Van Jones,Christopher Edley Jr.,John Conyers Jr.,Documentary,2006,3,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
American Dreamz,Paul Weitz,Paul Weitz,Universal,Robert Elswit,Hugh Grant,Dennis Quaid,Mandy Moore,Willem Dafoe,Chris Klein,Comedy,2006,2,7156725,1.90E+07,1.70E+07,Native-born,North America (US),US,Male,Caucasian,9196944
American Gun,Aric Avelino,Ted Kroeber,IFC Films,Nancy Schreiber,Donald Sutherland,Forest Whitaker,Garcelle Beauvais,Marcia Gay Harden,Linda Cardellini,Drama,2006,1,24030,3.00E+06,NA,NA,NA,NA,NA,NA,NA
American Hardcore,Paul Rachman,Paul Rachman,Sony Pictures,Paul Rachman,Adolescents,Bad Brains,Black Flag,Circle Jerks,DOA,Documentary,2006,3,278247,5.00E+05,NA,Native-born,North America (US),US,NA,NA,NA
American: Freedom to Fascism,Aaron Russo,Aaron Russo,NA,NA,NA,NA,NA,NA,NA,Documentary,2006,3,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Americanese,Eric Byler,Lisa Onodera,First Take (IFC),Stacy Toyama,Joan Chen,Kelly Hu,Allison Sie,Chris Tashima,Ben Shenkman,Romantic Comedy,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Americano,Kevin Noland,Mark Edward Roberts,Spirit Lake Pictures,Robb Webb,Joshua Jackson,Dennis Hopper,Leonor Varela,Philip Barantini,Timm Sharp,Drama,2006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
An American Haunting,Courtney Solomon,Courtney Solomon,Freestyle Releasing,Adrian Biddle,Rachel Hurd-Wood,James D'Arcy,Sissy Spacek,Donald Sutherland,Matthew Marsh,Drama,2006,2,16298046,1.40E+07,1.40E+07,NA,NA,NA,NA,NA,14145231
An Inconvenient Truth,Davis Guggenheim,Laurie David,Paramount Pictures,Bob Richman),NA,NA,NA,NA,NA,Documentary,2006,2,23808111,1500000,1.00E+06,Native-born,North America (US),US,Male,Caucasian,29219764
Andy Warhol: A Documentary Film,Ric Burns,Donald Rosenfeld,Steeplechase Films,Buddy Squires,Jeff Koons,Philip Bosco,Josh Hamilton,Robert Sean Leonard,Callie Thorne,Documentary,2006,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annapolis,Justin Lin,Damien Saccani,Walt Disney,Phil Abraham,James Franco,Jordana Brewster,Vicellous Reon Shannon,Donnie Wahlberg,Tyrese Gibson,Drama,2006,1,17119321,3.50E+07,NA,Foreign-born,Oceania,Tahiti,Male,Asian,97000
Anomaly,NA,Steve Jones,Teton Gravity Research,NA,NA,NA,NA,NA,NA,Documentary,2006,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Another Gay Movie,Todd Stephens,Karen Jaroneski,TLA Entertainment Group,Carl Bartels,Scott Thompson,Justin Bond,Michael Carbonaro,Ashlie Atkinson,James Getzlaff,Comedy,2006,3,654132,5.00E+05,NA,Native-born,North America (US),US,NA,NA,NA
Apart From That,Randy Walker,Randy Walker,NA,Erik Forssell,Kathleen McNearney,Kyle Conyers,Toan Le,Tony Cladoosby,Alice Ellingson,Drama,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apocalypto,Mel Gibson,Mel Gibson,Walt Disney,Dean Semler,Dalia Hernandez,Mayra Serbulo,Gerardo Taracena,Raoul Trujillo,Rudy Youngblood,Action,2006,4,50859889,3.00E+07,4.00E+07,Native-born,North America (US),US,Male,Caucasian,70165637
April's Shower,Trish Doolan,Christopher Racster,Regent Releasing,Kristian Bernier,Trish Doolan,Denise Miller,Maria Cina,Molly Cheek,Samantha Lemole,Comedy,2006,1,16255,2.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Aquamarine,Elizabeth Allen,Susan Cartsonis,20th Century Fox,Brian Breheny,Emma Roberts,"Joanna ""JoJo"" Levesque",Sara Paxton,Jake McDorman,Arielle Kebbel,Fantasy,2006,1,18595716,1.70E+07,1.20E+07,NA,NA,NA,Female,Caucasian,4381611
Art School Confidential,Terry Zwigoff,John Malkovich,Sony Pictures,James M Anderson,Max Minghella,Sophia Myles,John Malkovich,Jim Broadbent,Matt Keeslar,Comedy,2006,2,3296916,1.50E+07,NA,Native-born,North America (US),US,NA,NA,NA
Artie Lange's Beer League,Frank Sebastiano,Anthony Mastromauro,Echo Bridge Entertainment,David Phillips,Artie Lange,Louis Lombardi,Seymour Cassel,Ralph Macchio,Cara Buono,Romantic Comedy,2006,3,475000,2800000,NA,NA,NA,NA,NA,NA,NA
"As the Call, So the Echo",Keir Moreano,Keir Moreano,Necessary Nomad Films,Matthew J Santo,NA,NA,NA,NA,NA,Documentary,2006,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ask the Dust,Robert Towne,Paula Wagner,Paramount Pictures,Caleb Deschanel,Colin Farrell,Salma Hayek,Donald Sutherland,Eileen Atkins,Justin Kirk,Drama,2006,1,742614,1.50E+07,NA,Native-born,North America (US),US,NA,NA,NA
At Last,Tom Anton,Tom Anton,NA,Roberto Schaefer,Martin Donovan,Kelly Lynch,M.C. Gainey,Jessica Hecht,Brooke Adams,Drama,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,Chris Robinson,Dallas Austin,Warner Bros.,"Karsten ""Crash"" Gopinath","Tip ""T.I."" Harris",Lauren London,Big Boi,Mykelti Williamson,Keith David,Comedy,2006,1,21160089,1.70E+07,1.70E+07,Native-born,North America (US),US,Male,NA,NA
Aurora Borealis,James Burke,Scott Disharoon,Regent Releasing,Alar Kivilo,Joshua Jackson,Juliette Lewis,Louise Fletcher,Donald Sutherland,Steven Pasquale,Drama,2006,3,60552,2.00E+06,NA,NA,NA,NA,NA,NA,NA
Automaton Transfusion,Steven C. Miller,Geoffrey James Clark,NA,Jeff Dolen,Garrett Jones,Juliet Reeves,William Howard Bowman,Rowan Bousaid,Ashley Elizabeth Pierce,Horror,2006,NA,NA,NA,NA,Native-born,North America (US),US,Male,Caucasian,NA
Automatons,James McKenney,Lisa Wisely,Glass Eye Pix,David Hale,Christine Spencer,Brenda Cooney,Angus Scrimm,Noah DeFilippis,Don Wood,Sci-Fi,2006,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Autumn,Ra'up McGee,Ra'up McGee,Truly Indie,Erin Harvey,Laurent Lucas,Irène Jacob,Benjamin Rolland,Dinara Droukarova,Michel Aumont,Romance,2006,2,10529,3.00E+06,NA,NA,NA,NA,NA,NA,NA
Autumn's Eyes,Paola Mendoza,Paola Mendoza,NA,Gabriel Noble,Autumn Collier,Rose Collier,Nette Collier,NA,NA,Documentary,2006,NA,NA,NA,NA,Foreign-born,NA,NA,NA,NA,NA
Awesome; I Fuckin' Shot That!,Adam Yauch,Adam Yauch,ThinkFilm,NA,Adam Yauch,Adam Horovitz,Mike D,NA,NA,Documentary,2006,1,161351,1.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Babel,Alejandro González Iñárritu,Steve Golin,Paramount Pictures,Rodrigo Prieto,Brad Pitt,Cate Blanchett,Gael García Bernal,Elle Fanning,Kôji Yakusho,Drama,2006,4,34300771,2.50E+07,2.00E+07,Foreign-born,Latin America,Mexico,Male,Latinx/Hispanic,97818375
Bacterium,Brett Piper,NA,NA,NA,Alison Whitney,Benjamin Kanes,Miya Sagara,Andrew Kranz,NA,Horror,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Bambi 2,Brian Pimental,Jim Ballantine,NA,NA,NA,NA,NA,NA,NA,Animated,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Bandidas,Joachim Rønning,NA,20th Century Fox,Thierry Arbogast,Penélope Cruz,Salma Hayek,Steve Zahn,Dwight Yoakam,Audra Blaser,Comedy,2006,NA,NA,3.00E+07,3.50E+07,Foreign-born,Europe,Norway,Male,NA,NA
Banking on Heaven,Dot Reidelbach,Laurie Allen,NA,Thomas McArthur,Ruth Cooke,Elaine Jeffs,Carolyn Jessop,Penny Peterson,Jon Krakauer,Documentary,2006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barnyard: The Original Party Animals,Steve Oedekerk,Steve Oedekerk,Paramount Pictures,NA,Kevin James,Courteney Cox,Danny Glover,Sam Elliott,Wanda Sykes,Animated,2006,3,72601713,5.00E+07,5.10E+07,Native-born,North America (US),US,NA,NA,45804844
Basic Instinct 2: Risk Addiction,Michael Caton-Jones,Mario Kassar,Sony Pictures,Gyula Pados,Sharon Stone,David Morrissey,Charlotte Rampling,David Thewlis,Hugh Dancy,Thriller,2006,1,5851188,7.00E+07,NA,Foreign-born,Europe,United Kingdom,Male,Caucasian,NA
Beat the Drum,David Hickson,Rick Shaw,Freestyle Digital Media,Lance Gewer,Junior Singo,Owen Sejake,Mary Twaia,NA,NA,Drama,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beautiful Ohio,Chad Lowe,Hilary Swank,NA,Stephen Kazmierski,William Hurt,Rita Wilson,Julianna Margulies,Michelle Trachtenberg,David Call,Drama,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Been Rich All My Life,Heather MacDonald,Heather MacDonald,First Run Features,Heather MacDonald,Geri Kennedy,NA,NA,NA,NA,Documentary,2006,3,33745,1.00E+06,NA,NA,NA,NA,NA,NA,NA
Beerfest,Jay Chandrasekhar,Bill Gerber,Warner Bros.,Frankie DeMarco,Paul Soter,Erik Stolhanske,Steve Lemme,Kevin Heffernan,Jay Chandrasekhar,Comedy,2006,3,19179969,12500000,17500000,Native-born,North America (US),US,Male,Southeast Asian/Indian,974132
Beverly Kills,Damion Dietz,Elyse Rogers,NA,NA,Gary Kelley,Mark Simich,Rick Sparks,NA,NA,Comedy,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Beyond Eyruv,John Mounier,John Mounier,Seventh Art Releasing,John Mounier,NA,NA,NA,NA,NA,Documentary,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beyond Honor,Varun Khanna,Harkeerat Dhillon,Cine02 Productions,Dinesh Kampani,Wadie Andrawis,Mirelly Taylor,Laurel Melagrano,Ryan Izay,Jason D Smith,Drama,2006,1,6437,2.00E+06,NA,NA,NA,NA,NA,NA,NA
Beyond the Rocks,Sam Wood,Sam Wood,Milestone Film & Video,Alfred Gilks,Gloria Swanson,Rudolph Valentino,Edythe Chapman,Alec B Francis,Robert Bolder,Drama,2006,1,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Bickford Shmeckler’s Cool Ideas,Scott Lew,Chris Weitz,NA,Lowell Peterson),NA,NA,NA,NA,NA,Comedy,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Big Momma's House 2,John P. Whitesell,David Friendly,20th Century Fox,Mark Irwin),Martin Lawrence,Nia Long,Emily Procter,Zachary Levi,Mark Moses,Comedy,2006,1,70163652,4.00E+07,4.00E+07,Native-born,North America (US),US,NA,NA,66881404
Bill's Gun Shop,Dean Hyers,Ann Luster,NA,Mickey Freeman,Scott Cooper,John Ashton,Victor Rivers,Tom Bower,James Keane,Crime,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Christmas,Glen Morgan,Glen Morgan,MGM,Robert McLachlan,Michelle Trachtenberg,Mary Elizabeth Winstead,Katie Cassidy,Lacey Chabert,Crystal Lowe,Horror,2006,4,16235293,9.00E+06,9.00E+06,Native-born,North America (US),US,NA,NA,NA
Blackballed: The Bobby Dukes Story,Brant Sersen,Brant Sersen,NA,Jonathan Goldsmith,Rob Corddry,Paul Scheer,Dannah Phirman,Rob Riggle,Curtis Gwinn,Comedy,2006,2,NA,1500000,NA,NA,NA,NA,Male,NA,NA
Blood Diamond,Edward Zwick,Gillian Gorfil,Warner Bros.,Eduardo Serra,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Arnold Vosloo,Michael Sheen,Thriller,2006,4,57366262,1.00E+08,1.00E+08,Native-born,North America (US),US,Male,Caucasian,1.14E+08
"Blood, Tea and Red String",Christiane Cegavske,NA,Cinema Epoch,Christiane Cegavske,NA,NA,NA,NA,NA,Animated,2006,4,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Bloody Mary,Richard Valentine,NA,NA,NA,Jaason Simmons,Kim Tyler,Matt Borlenghi,Amber Borycki,NA,Horror,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blossoms of Fire,Maureen Gosling,Maureen Gosling,New Yorker Films,Xavier Grobet,NA,NA,NA,NA,NA,Documentary,2006,1,2390,5.00E+05,NA,NA,NA,NA,NA,NA,NA
Bobby,Emilio Estevez,Edward Bass,MGM,Michael Barrett,Anthony Hopkins,Demi Moore,Sharon Stone,Lindsay Lohan,Elijah Wood,Drama,2006,4,11204499,1.00E+07,1.40E+07,Native-born,North America (US),US,Male,Latinx/Hispanic,9355005
Borat: Cultural Learnings Of America For Make Benefit Glorious Nation of Kazakhstan,Larry Charles,Jay Roach,20th Century Fox,Luke Geissbühler,Sacha Baron Cohen,Ken Davitian,Luenell,NA,NA,Comedy,2006,4,128505958,1.80E+07,NA,Native-born,North America (US),US,Male,Caucasian,NA
Border War,Kevin Knoblock,Kevin Knoblock,Peace River Company,Matthew Taylor,NA,NA,NA,NA,NA,Documentary,2006,3,NA,NA,NA,NA,NA,NA,Male,NA,NA
Boys Briefs 4,Tony Krawitz,Melissa Johnson,Picture This! Entertainment,Simon Chapman,Sam Barlow,Bryan Marshall,Sebastian Lamour,Jesse Lee,Salim Kechiouche,Drama,2006,3,25469,2.00E+06,NA,Foreign-born,NA,NA,NA,NA,NA
Breaking Dawn,Mark Robinson,Brady Nasfell,NA,Ken Glassing,Kelly Overton,Joe Morton,Hank Harris,Sarah-Jane Potts,Edie McClurg,Drama,2006,NA,NA,NA,NA,NA,NA,NA,Male,NA,NA
Brick,Rian Johnson,Ram Bergman,Focus Features,Steve Yedlin,Joseph Gordon-Levitt,Lukas Haas,Nora Zehetner,Emilie De Ravin,Noah Fleiss,Thriller,2006,1,2060589,450000,450000,Native-born,North America (US),US,Male,Caucasian,2168253
Bring It On: All or Nothing,Steve Rash,Thomas Bliss,NA,NA,Hayden Panettiere,Francia Raisa,"Gus ""Sebastian"" Carr",Cindy Chiu,Solange,Comedy,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Broken Bridges,Steven Goldmann,Donald Zuckerman,Paramount Pictures,Patrick Cady),Toby Keith,Kelly Preston,Burt Reynolds,Willie Nelson,Tess Harper,Drama,2006,3,251775,5.00E+06,NA,Foreign-born,North America (Canada),Canadian,NA,NA,NA
Bubble,Steven Soderbergh,Gregory Jacobs,Magnolia Pictures,Steven Soderbergh,Debbie Doebereiner,Misty Wilkins,Dustin Ashley,Kyle Smith,Omar Cowan,Mystery,2006,1,145382,3.00E+06,NA,Native-born,North America (US),US,Male,Caucasian,NA
Buddha Wild: Monk in a Hut,Anna Wilding,Anna Wilding,Carpe Diem Films,NA,Anna Wilding,Manit Visetchat,Chalerm Chanapah,Sally Gaudin,Vanta Kaur,Comedy,2006,1,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Building a Broken Mousetrap,Jem Cohen,NA,NA,Matt Boyd,NA,NA,NA,NA,NA,Documentary,2006,NA,NA,NA,NA,Foreign-born,Asia,Afghanistan,Male,NA,NA
By The People,Malindi Fickle,Malindi Fickle,Hyberbaric Productions,Kris Lienert,NA,NA,NA,NA,NA,Documentary,2006,3,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Camp OUT,Kirk Marcolina,Kirk Marcolina,NA,Vanessa Holtgrew,Jay Wiesner,Brad Froslee,NA,NA,NA,Documentary,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cars,John Lasseter,Darla K. Anderson,Walt Disney,Jeremy Lasky,Owen Wilson,Paul Newman,Bonnie Hunt,Richard Petty,Cheech Marin,Animated,2006,2,244052771,7.00E+07,7.00E+07,Native-born,North America (US),US,NA,NA,217547576
Cartoons: No Laughing Matter?,David Shrigley,Marie Manton,NA,Suzie Templeton,Kevin Eldon,Tony Fisher,Joshua O'Keefe,J.J. Villard,John Svenzer,Animated,2006,2,NA,NA,NA,Foreign-born,NA,NA,NA,NA,NA
Casino Royale,Martin Campbell,Barbara Broccoli,Sony Pictures,NA,Daniel Craig,Judi Dench,Mads Mikkelsen,Eva Green,Jeffrey Wright,Action,2006,4,167007184,1.40E+08,1.02E+08,Foreign-born,Oceania,New Zealand,Male,Caucasian,427055283
Catch a Fire,Phillip Noyce,NA,Focus Features,Ron Fortunato,Tim Robbins,Derek Luke,Bonnie Henna,Mncedisi Shabangu,Terry Pheto,Drama,2006,4,4291965,1.50E+07,NA,Foreign-born,NA,Australian ,NA,NA,NA
Cavite,Ian Gamazon,Ian Gamazon,Truly Indie,Neill Dela Llana,Ian Gamazon,Dominique Gonzalez,NA,NA,NA,Thriller,2006,2,70071,2.00E+06,NA,NA,NA,NA,NA,NA,NA
Charlotte's Web,Gary Winick,Jordan Kerner,Paramount Pictures,Seamus McGarvey,Dakota Fanning,Oprah Winfrey,Dominic Scott Kay,John Cleese,Steve Buscemi,Family,2006,4,82506325,8.50E+07,82500000,Native-born,North America (US),US,NA,NA,6.10E+07
Checking Out,Jeff Hare,Mark Stuart Lane,Allumination FilmWork LLC,Matthew Jensen,Peter Falk,Laura San Giacomo,Judge Reinhold,David Paymer,Jeffrey D Sams,Comedy,2006,3,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Children of Men,Alfonso Cuarón,Hilary Shor,Universal,Emmanuel Lubezki,NA,NA,NA,NA,NA,Thriller,2006,4,35286428,7.60E+07,7.60E+07,Foreign-born,Latin America,Mexico,Male,Latinx/Hispanic,34292628
Choker,Nick Vallelonga,James Quattrochi,NA,Vladimir Van Maule,Tony Denison,Colleen Porch,Hayley DuMond,Paul Sloan,Nick Vallelonga,Action,2006,4,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Choppertown: The Sinners,Zack Coffman,Zack Coffman,NA,NA,NA,NA,NA,NA,NA,Documentary,2006,1,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Christmas at Maxwell's,Bill Laufer,Bill Laufer,LauferFilm,Tiffany Laufer,Andrew May,Jack Hourigan,NA,NA,NA,Drama,2006,4,NA,3.00E+06,NA,NA,NA,NA,NA,NA,NA
Church Ball,Kurt Hale,George Dayton,Halestorm Entertainment,William Webb,Fred Willard,Andrew Wilson,Clint Howard,Gary Coleman,Ross Brockley,Drama,2006,1,464991,1.00E+06,NA,NA,NA,NA,NA,NA,NA
Cinematographer Style,Jonathan Fauer,Jonathan Fauer,NA,Jonathan Fauer,NA,NA,NA,NA,NA,Documentary,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clear Cut: The Story of Philomath, Oregon",Peter Richardson,Peter Richardson,NA,Peter Richardson,Steve Lowther,Terry Kneisler,Chris Nusbaum,Mark Phillips,Joanne Eby,Documentary,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clerks II,Kevin Smith,Scott Mosier,MGM,David Klein,Brian O'Halloran,Jeff Anderson,Rosario Dawson,Jason Mewes,Kevin Smith,Comedy,2006,3,24138847,5.00E+06,5.00E+06,Native-born,North America (US),US,Male,Caucasian,3194178
Click,Frank Coraci,Neal H. Moritz,Sony Pictures,Dean Semler,Adam Sandler,Kate Beckinsale,Christopher Walken,David Hasselhoff,Henry Winkler,Comedy,2006,2,137340146,8.20E+07,82500000,Native-born,North America (US),US,Male,Caucasian,100329456
Coastlines,Victor Nunez,Jody Allen,First Take (IFC),Virgil Mirano,Timothy Olyphant,Sarah Wynter,Josh Brolin,Scott Wilson,Angela Bettis,Crime,2006,2,6480,3.00E+06,NA,NA,NA,NA,NA,NA,NA
Cocaine Cowboys,Billy Corben,Alfred Spellman,Magnolia Pictures,Armando Salas,Jon Roberts,Mickey Munday,"Jorge ""Rivi"" Ayala",Dr. Joseph Davis,Al Singleton,Documentary,2006,4,148872,1.00E+06,NA,Native-born,North America (US),US,Male,NA,NA
Coffee Date,Stewart Wade,Cindy Peters,Slowhand Releasing,Howard Wexler,Sally Kirkland,Jonathan Silverman,Deborah Gibson,Jonathan Bray,Wilson Cruz,Romantic Comedy,2006,4,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Colin Fitz Lives!,Robert Bella,Robert Bella,Baby Shark,Henry Cline,John C. McGinley,Matt McGrath,William H. Macy,Andy Fowle,Julianne Phillips,Comedy,2006,3,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Collier & Company: Hot Pursuit,John Schneider,John Schneider,Stand on It! Productions,NA,John Schneider,Elly Castle,Rex Smith,Phil Redrow,Marcus Milton,Comedy,2006,4,NA,NA,NA,Native-born,North America (US),US,Male,Caucasian,NA
Color of the Cross,Jean-Claude LaMarre,Cecil Murray,Warning Films/Nu-Lite Entertainment,Paul Mayne,Jean-Claude LaMarre,Debbi Morgan,Ananda Lewis,Johann Jean,Adam Green,Drama,2006,4,84744,2500000,NA,Native-born,North America (US),US,Male,Black or African American,NA
Coma,Mike Figgis,NA,NA,NA,Aleksandra Balmazovic,Aljosa Kovacic,Doris Schretzmayer,Fabian Joest Passamonte,Feo Aladag,Documentary,2006,1,NA,NA,NA,Foreign-born,Africa,Kenya,Male,Caucasian,NA
Come Early Morning,Joey Lauren Adams,Julie Yorn,Roadside Attractions,Tim Orr,Ashley Judd,Laura Prepon,Tim Blake Nelson,Diane Ladd,Jeffrey Donovan,Romance,2006,4,117560,6.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Comic Evangelists,Dann Sytsma,Daniel Jones,NA,Daniel Jones,Dann Sytsma,Eli Rix,Adam Carter,Allison Hendrix,Jennifer K Moubray,Comedy,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commune,Jonathan Berman,Jonathan Berman,Five Points Media,Alan Deutsch,NA,NA,NA,NA,NA,Documentary,2006,4,NA,NA,NA,Native-born,North America (US),US,Male,NA,NA
Compound,Will Fredo,Medwin Garcia,NA,Will Fredo,John Arcilla,Janet Russ,Jake Macapagal,Liza Dino,Joan Palisoc,Drama,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Confetti,Debbie Isitt,Ian Flooks,Searchlight Pictures,Dewald Aukema,NA,NA,NA,NA,NA,Comedy,2006,3,226990,2.00E+06,NA,Foreign-born,Europe,United Kingdom,Female,NA,NA
Conventioneers,Mora Stephens,Joel Viertel),Cinema Libre Studio,Andreas Burgess,Matthew Mabe,Woodwyn Koons,Alek Friedman,Alicia Harding,Jennifer Brown,Romantic Comedy,2006,4,NA,NA,NA,NA,NA,NA,Female,NA,NA
Conversations With God,Stephen Simon,Stephen Simon,Samuel Goldwyn Films,Joao Fernandes,Henry Czerny,Ingrid Boulting,Bruce Page,Vilma Silva,Zillah Glory,Drama,2006,4,422897,3.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Conversations With Other Women,Hans Canosa,Kerry Barden,Fabrication Films,Steve Yedlin,NA,NA,NA,NA,NA,Drama,2006,3,379122,450000,NA,Native-born,North America (US),US,NA,NA,NA
Cosmic Radio,Stephen Savage,Ryan Johnson,NA,Tarina Reed,Michael Madsen,Wes Studi,Rider Strong,Randy Spelling),Taboo,Drama,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Cowboy Del Amor,Michele Ohayon,Michele Ohayon,Emerging Pictures,Theo van de Sande,Ivan Thompson,NA,NA,NA,NA,Romance,2006,1,4438,5.00E+05,NA,Foreign-born,NA,NA,NA,NA,NA
Crank,Mark Neveldine,Michael Davis,Lionsgate,Adam Biddle,Jason Statham,Amy Smart,Efren Ramirez,Jose Pablo Cantillo,Jay Xcala,Action,2006,3,27829874,1.20E+07,1.20E+07,Native-born,North America (US),US,Male,NA,16086515
Crazy Like A Fox,Richard Squires,Patricia Foulkrod,Freestyle Digital Media,Gary Grieg,Roger Rees,Mary McDonnell,Paul Fitzgerald,Christina Rouner,Mark Joy,Drama,2006,2,4667,3.00E+06,NA,NA,NA,NA,NA,NA,NA
Crossing Arizona,Joseph Mathew,Dan DeVivo,NA,Joseph Mathew,Mike Wilson,Byrd Baylor,Chris Simcox,Manuela Martinez,Alexis Mazon,Documentary,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossover,Preston A. Whitmore II,Frank Mancuso Jr.,TriStar Pictures,Christian Sebaldt),Anthony Mackie,Shelli Boone,Wayne Brady,Alecia Jai Fears,Michael Kimbrew,Other,2006,3,7009668,5600000,NA,Native-born,North America (US),US,Male,Black or African American,NA
Cruel and Unusual,Janet Baus,Janet Baus,NA,NA,NA,NA,NA,NA,NA,Documentary,2006,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Cruel World,Kelsey Howard,Tim Wesley,NA,NA,Edward Furlong,Susan Ward,Jaime Pressly,Andrew Keegan,Sanoe Lake,Horror,2006,4,16344,1700000,NA,NA,NA,NA,NA,NA,NA
Curious George,Matt O'Callaghan,Ron Howard,Universal,NA,NA,NA,NA,NA,NA,Animated,2006,1,58336565,4.00E+07,5.00E+07,Native-born,North America (US),US,NA,NA,12412485
Dan Aykroyd: Unplugged on UFOs,David B Sereda,John R Johnston,NA,David B Sereda,Dan Aykroyd,David B Sereda,Gordon Cooper,Paul Hellyer,Ken Storch,Documentary,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dance Party, USA",Aaron Katz,Marc Ripper,NA,Sean McElwee,Anna Kavan,Cole Pensinger,Ryan White,Sarah Bing,Natalie Buller,Drama,2006,4,NA,NA,NA,Native-born,North America (US),US,Male,Caucasian,NA
Danielson: A Family Movie,J.L. Aronson,J.L. Aronson,Creative Arson Productions,J.L. Aronson,Daniel Smith,Sufjan Stevens,Rick Moody,Steve Albini,David Garland,Documentary,2006,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danika,Ariel Vromen,Mark Roberts,NA,Darko Suvak,Marisa Tomei,Craig Bierko,Regina Hall,Kyle Gallner,Nicki Prian,Horror,2006,NA,NA,NA,NA,Foreign-born,Asia,Israel,Male,NA,NA
