Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo
Hot Boyz,Master P,Joseph Merhi,PM Entertainment/Sunland Entertainment,Ken Blakey,Gary Busey,Silkk the Shocker,Jeff Speakman,Snoop Dogg,Master P,Action,2000,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
I Dreamed of Africa,Hugh Hudson,Stanley R Jaffe,Sony Pictures,Bernard Lutic,Kim Basinger,Vincent Perez,Liam Aiken,Garrett Strommen,Eva Marie Saint,Adventure,2000,2,6543194,40150000,3.40E+07,Foreign-born,Europe,United Kingdom,Male,Caucasian,7748805
ICC: A Call For Justice,NA,NA,NA,NA,NA,NA,NA,NA,NA,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iditarod... a far distant place,Alice Dungan Bouvrie,Alice Dungan Bouvrie,NA,Tom Curran,NA,NA,NA,NA,NA,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
If I Die Before I Wake,Brian Katkin,P.J. Pettiette,NA,Zoran Hochstatter,Stephanie Jones,Muse Watson,Michael McCleery,Coryanne Sennett,NA,Thriller,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
If You Only Knew,David Snedeker,Richard Salvatore,Eternity Pictures,Kristian Bernier,Johnathon Schaech,Alison Eastwood,Gabrielle Anwar,James LeGros,Paul Sampson,Comedy,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I'll Remember April,Bob Clark,Paul Colichman,NA,Stephan Katz,Trevor Morgan,Mark Harmon,Pam Dawber,Haley Joel Osment,Pat Morita,Drama,2000,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
I'm The One That I Want,Lionel Coleman,Lorene Machado,Cho Taussig Productions,Lionel Coleman,NA,NA,NA,NA,NA,Comedy,2000,2,1205606,9.00E+05,NA,NA,NA,NA,NA,NA,NA
Imagine Surfing as Sadhana,Marshall K Hattori,Marshall K Hattori,NA,Peter Trow,NA,NA,NA,NA,NA,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In the Wake,Erica Jordan,Erica Jordan,NA,Francis Assadi,Julia D'Orazio,Timothy Rodriquez,Ted Herzberg,Patricia Jiron,Michael Meyers,Drama,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
