Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar
Next Life,Florence Bonneville,,,,,,,,,,1995,,,,,,,,,,,0
Niagaravation,Joe Romano,Maria Cristina Newson,,John Murphy,Joe Romano,Maria Cristina Newsom,Cathy Haase,Kimberly Anne Ryan,Jim Farmer,Comedy,1995,,,,,,,,,,,0
Nick of Time,John Badham,John Badham,Paramount Pictures,Roy Wagner,Johnny Depp,Courtney Chase,Charles S. Dutton,Christopher Walken,Roma Maffia,Action,1995,,7790129.0,25000000.0,,,,,,,,1
Night Eyes 4...Fatal Passion,Rodney McDonald,Andrew Stevens,,Gary Graver,Paula Barbieri,Jeff Trachta,Andrew Stevens,,,Other,1995,,,,,,,,,,,0
Night of the Demons 3,Jim Kaufman,Claudio Castravelli,Republic,Walter Bal,Amelia Kinkade,Kris Holden-Ried,Gregory Calpakis,Patricia Rodriguez,Stephanie Bauder,Horror,1996,,,,,,,,,,,0
Nina Takes a Lover,Alan Jacobs,Jane Hernandez,,Phil Parmet,Laura San Giacomo,Paul Rhys,Michael O'Keefe,Cristi Conaway,Fisher Stevens,Comedy,1995,,,600000.0,,Native-born,North America (US),US,,,,0
Nine Months,Chris Columbus,Anne Francois,20th Century Fox,Donald M McAlpine,Hugh Grant,Julianne Moore,Tom Arnold,Joan Cusack,Jeff Goldblum,Comedy,1995,,67876220.0,24300000.0,,Native-born,North America (US),US,Male,Caucasian,68825698.0,1
Nixon,Oliver Stone,Clayton Townsend,Walt Disney,Robert Richardson,Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins,Biopic,1995,,13678600.0,43000000.0,45000000.0,Native-born,North America (US),US,Male,Caucasian,21000000.0,1
No Easy Way,Jeffrey Fine,Doug Ludwig,,Steven Douglas Smith,Alan Boyce,Khandi Alexander,Brandon Hammond,Jermaine Montell,Christina Pickles,Drama,1996,,,,,,,,,,,0
Nobody's Business,Alan Berliner,Alan Berliner,,Alan Berliner,,,,,,Documentary,1996,,,,,Native-born,North America (US),US,,,,0
Not This Part of the World,Philip Atlakson,Philip Atlakson,,Jeffrey D Smith,Adam West,Matt Letscher,Christina Lang,,,Comedy,1995,,,,,,,,,,,0
Nothing,Evan Aaronson,,,,,,,,,Documentary,1996,,,,,,,,,,,0
Now and Then,Lesli Linka Glatter,Suzanne Todd,New Line Cinema,Ueli Steiger,Christina Ricci,Thora Birch,Gaby Hoffmann,Ashleigh Aston Moore,Demi Moore,Drama,1995,,27109131.0,26500000.0,,Native-born,North America (US),US,,,,1
"Nuke 'Em High 3: The Good, the Bad and the Subhumanoid",Eric Louzil,Lloyd Kaufman,,Ron Chapman,Brick Bronsky,Lisa Star,John Tallman,Lisa Gaye,Albert Bear,Action,1995,,,,,Native-born,North America (US),US,,,,0
Object of Obsession,Gregory Dark,Andrew Garroni,,Wally Pfister,Scott Valentine),Erika Anderson,Liza Whitcraft,Robert Keith,Jane A Rogers,Thriller,1995,,,,,Native-born,North America (US),US,,,,0
Oblivion,Sam Irvin,Vlad Paunescu,,Adolfo Bartoli,Richard Joseph Paul,Jackie Swanson,Andrew Divoff,Meg Foster,Jimmie F Skaggs,Sci-Fi,1995,,,,,,,,Male,Caucasian,,0
Obsessive Becoming,Daniel Reeves,,,,,,,,,,1995,,,,,,,,,,,0
Omaha (The Movie),Dan Mirvish,Dana Altman,Bugeater Releasing,Oslo Anderson,Hughston Walkinshaw,Jill Anderson,Frankie Bee,Christopher M Dukes,Dick Mueller,Comedy,1995,,,,,,,,Male,,,0
Omega Doom,Albert Pyun,Gary Schmoeller,,George Mooradian,Rutger Hauer,Shannon Whirry,Tina Cote,,,Action,1996,,,,,,,,,,,1
One Night Stand,Talia Shire,Francis Ford Coppola,New Horizons Picture Corp.,Arthur Albert,Ally Sheedy,A Martinez,Frederic Forrest,Diane Salinger,Don Novello,Thriller,1995,,,,,,,,,,,0
Only In America,Rusty Martin,,,Roban Bieber,Kirsten Macy,Helen Fratena,Larry Flynn,Don Shook,Alex Hunter,Comedy,1995,,,1000000.0,,,,,,,,0
Open Fire,Kurt Anderson,Pierre David,,Jurgen Baum,Jeff Wincott,Patrick Kilpatrick,Mimi Craven,Arthur Taxier,Leo Lee,Action,1995,,,,,,,,,,,0
Operation Dumbo Drop,Simon Wincer,Diane Nabatoff,Walt Disney,Russell Boyd,Danny Glover,Ray Liotta,Denis Leary,Doug E Doug,Corin Nemec,Action,1995,,24670346.0,28500000.0,,Foreign-born,,Australian ,,,,1
Out of Sync,Debbie Allen,Tim Reid,KJM3 Entertainment Group,Isidore Mankofsky,L.L. Cool J,Victoria Dillard,Yaphet Kotto,Isaac Hayes,Aries Spears,Action,1995,,,,,,,,,,,0
Outbreak,Wolfgang Petersen,Arnold Kopelson,Warner Bros.,Michael Ballhaus,Dustin Hoffman,Rene Russo,Morgan Freeman,Cuba Gooding Jr.,Kevin Spacey,Action,1995,,65875604.0,50000000.0,50000000.0,Foreign-born,Europe,Germany,Male,Caucasian,122200000.0,1
Outside the Law,,,,,David Bradley,Anna Thomson,Ashley Laurence,,,Action,1995,,,,,,,,,,,0
Painted Hero,Terry Benedict,Richard Weinman,Legacy Releasing,David Bridges,Dwight Yoakam,Michelle Joyner,Bo Hopkins,John Getz,Kiersten Warren,Thriller,1995,,,,,,,,,,,0
Panther,Mario Van Peebles,Preston L. Holmes,Gramercy Pictures,Edward J Pei,Kadeem Hardison,Bokeem Woodbine,Joe Don Baker,Courtney B. Vance,Tyrin Turner,Adaptation,1995,,6322906.0,9000000.0,,Foreign-born,Latin America,Mexico,Male,Black or African American,,0
Paradjanov: A Requiem,Ron Holloway,Frank Löprich,Kino International,Thomas Schwan,,,,,,Documentary,1995,,,,,,,,,,,0
Party Girl,Daisy von Scherler Mayer,Stephanie Koules,First Look,Michael Slovis,Parker Posey,Omar Townsend,Sasha Von Scherler,Guillermo Diaz,Anthony De Sando,Comedy,1995,,57237.0,1800000.0,,Native-born,North America (US),US,,,,1
Pentathalon,Bruce Malmuth,Martin E Caan,,,,,,,,Action,1995,,,,,Native-born,North America (US),US,,,,0
Peoria Babylon,Steven Diller,Michael D Caplan,,,David Drake,Ann Cusack,,,,Comedy,1995,,,,,,,,,,,0
Pepper's Pow Wow,Sandy Osawa,Sandy Osawa,,,,,,,,Documentary,1995,,,,,,,,,,,0
Personal Belongings,Steven Bognar,Steven Bognar,,Michael King,,,,,,Documentary,1996,,,,,,,,Male,,,0
Persuasion,Roger Michell,Fiona Finlay,Sony Pictures,John Daly,,,,,,Adaptation,1995,,3665472.0,3400000.0,,Foreign-born,Africa,South Africa,Male,Caucasian,,0
Pet Shop,Hope Perello,,,Karen Grossman,Leigh Ann Orsi,Spencer Vrooman,Joanne Baron,David Wagner,Jane Morris,Comedy,1995,,,,,,,,,,,0
Peter Allen: The Boy From Oz,Stephen MacLean,,,,,,,,,Documentary,1995,,,,,,,,,,,0
Phantom Pain,Neil Matsumoto,Tina Alexis,,Jeffrey Wilkins,Tina Alexis,Scott Reda,Holly Woodland,Sue Hamilton,Kathie Laine,Comedy,1996,,,,,,,,,,,0
Pharaoh's Army,Robby Henson,Doug Lodato,Cinepix Film Properties,Doron Schlair,Chris Cooper,Patricia Clarkson,Kris Kristofferson,Richard Tyson,Robert Joy,Drama,1995,,2676.0,,,Native-born,North America (US),US,,,,1
Philosophy in the Bedroom,Tony Guzman,Yelena Guzman,Phaedra Cinema,David Dechant,Daniel Spector,Jennifer Fabos,Aliena Grey,B Wyatt,Anna Scott,Adaptation,1995,,,,,,,,,,,0
Picture Bride,Kayo Hatta,Diane Mei Lin Mark,Miramax,Claudio Rocha,Youki Kudoh,Akira Takayama,Tamlyn Tomita,Cary-Hiroyuki Tagawa,Toshiro Mifune,Drama,1995,,531094.0,1000000.0,,,,,,,,0
Pinocchio's Revenge,Kevin Tenney,Jeff Geoffray,Vidmark Entertainment,,Rosalind Allen,Vincent Gotto,,,,Horror,1996,,,,,Native-born,North America (US),US,,,,0
Play Time,,,,,Monique Parent,Craig Stepp,,,,,1995,,,,,,,,,,,0
Playing Dangerous,Lawrence Lanoff,Sam Gottlieb,,Tony Nakonechnyj,Mikey LeBeau,David Keith Miller,George Shannon,Linda LoPorto,Ali Patrick,Comedy,1995,,,,,,,,,,,0
Plutonium Circus,George Ratliff,George Ratliff,,Judd Metni,,,,,,Documentary,1995,,,,,Native-born,North America (US),US,Male,,,0
Pocahontas,Mike Gabriel,James Pentecost,Walt Disney,,,,,,,Animated,1995,,141579773.0,55000000.0,55000000.0,Native-born,North America (US),US,,,205520227.0,0
Pop Love,Kyle Henry,Kyle Henry,,Tom Taylor,Jennifer Donoghue,Derek Cecil,Sloan Tribble,Ray Barr,Bren Bubay,Comedy,1995,,,21783.0,,Native-born,North America (US),US,Male,Caucasian,,0
Powder,Victor Salva,Roger Birnbaum,Walt Disney,Jerzy Zielinski,Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith,Drama,1995,,30861037.0,25000000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Precious Find,Philippe Mora,Lenny Britton,,Walter Bal,Rutger Hauer,Joan Chen,Harold P Pruett,Brion James,Morgan Hunter,Sci-Fi,1996,,,,,Foreign-born,Europe,France,Male,,,1
Prehisteria! 3,David DeCoteau,Karen L Spencer,,James Lawrence Spencer,Fred Willard,Whitney Anderson,Pam Matteson,Dave Buzzotta,Matt Letscher,Fantasy,1995,,,,,Native-born,North America (US),US,Male,,,0
Prey of the Jaguar,David DeCoteau,Brian Shuster,,Howard Wexler,Maxwell Caulfield,Linda Blair,Stacy Keach,Trevor Goddard,Paul Regina,Action,1996,,,,,Native-born,North America (US),US,Male,,,0
Private Obsession,Lee Frost,,,,Shannon Whirry,Michael Christian,Bo Svenson,,,Thriller,1995,,,,,,,,,,,0
Pterodactyl Woman From Beverly Hills,Philippe Mora,Philippe Mora,,Walter Bal,Beverly D'Angelo,Brad Wilson,Brion James,Moon Unit Zappa,"Barry ""Dame Edna"" Humphries",Comedy,1996,,,4000000.0,,Foreign-born,Europe,France,Male,,,0
Public Access,Bryan Singer,Kenneth Kokin,Panorama Entertainment,Bruce Douglas Johnson,Ron Marquette,Dina Brooks,Bert Williams,Larry Maxwell,Charles Kavanaugh,Drama,1995,,,,,Native-born,North America (US),US,Male,Caucasian,,0
Punk,Ted Haimes,Ted Haimes,,,Exene Cervenka,,,,,Documentary,1995,,,,,,,,,,,0
Pushing Hands,Ang Lee,Ted Hope,Cinepix Film Properties Productions,Jong Lin,Sihung Lung,Lai Wang,Bo Z Wang,Deb Snyder,Haan Lee,Comedy,1995,,9567.0,,,Foreign-born,Asia,Taiwan,Male,Asian,,0
Queens of the Big Time,Adriana Trigiani,Constance Marks,,Michael Mayers,,,,,,Documentary,1996,,,,,,,,Female,,,0
Raging Angels,Chris Christensen,Chako Van Leeuwen,Borde Films Releasing,Bryan England,Sean Patrick Flanery,Diane Ladd,Monet Mazur,Michael Paré,Arielle Dombasle,Action,1995,,,7500000.0,,,,,,,,0
Raging Boil,Judd Metni,,,,,,,,,Comedy,1995,,,,,,,,,,,0
Raising Heroes,Douglas Langway,Douglas Langway,Phaedra Cinema,,,,,,,Action,1995,,,,,,,,Male,,,0
Rave Review,Jeff Seymour,Jeff Seymour,Gnu Films,Richard Crudo,Jeff Seymour,Carmen Argenziano,Ed Begley Jr.,Robert Costanzo,James Handy,Comedy,1995,,,,,,,,,,,0
Raw As You Wanna Be,Burt LeFlore,Burt LeFlore,,Mik Cribben,Alex Reynolds,Burt LeFlore,Hatsuko,Money Dunham,Evly Pacheco,Comedy,1995,,,,,,,,,,,0
Reckless,Norman Rene,Amy Kaufman,MGM,Fred Elmes,Mia Farrow,Scott Glenn,Mary-Louise Parker,Tony Goldwyn,Eileen Brennan,Adaptation,1995,,103351.0,4600000.0,,,,,,,,1
Red Ribbon Blues,Charles Winkler,Brad Wyman,,Larry Blanford,Paul Mercurio,Debi Mazar,RuPaul,John Epperson,David Spielberg,Action,1996,,,3000000.0,,Native-born,North America (US),US,,,,0
Red Scorpion 2,Michael Kennedy,Robert K. MacLean,,,Matt McColm,John Savage,Michael Ironside,Jennifer Rubin,,Action,1995,,,,,Foreign-born,North America (Canada),Canadian,,,,0
Reflections in the Dark,Jon Purdy,Gwen Field,New Horizons Productions,Teresa Medina,Mimi Rogers,Billy Zane,John Terry,Kurt Fuller,Lee Garlington,Drama,1995,,,,,,,,,,,1
Reincarnation of Khensur Rinpoche,Tenzing Sonam,,Zeitgeist Films,,,,,,,Documentary,1995,,,,,Foreign-born,Asia,India,Male,,,0
Reluctant Justice,John David Harris,Fred Cobar,,Guido Verweyen,John David Harris,Doug Spearman,Damon Shalit,,,Drama,1995,,,,,,,,,,,0
"Remembering Wei Yi-Fang, Remembering Myself",Yvonne Welbon,,,,,,,,,Documentary,1995,,,,,Native-born,North America (US),US,,,,0
Remote Control,Cara Mertes,,,,,,,,,Documentary,1995,,,,,,,,,,,0
Rhythm Thief,Matthew Harrison,Jonathan Starch,Strand Releasing,Howard Krupa,Jason Andrews,Eddie Daniels,Kevin Corrigan,Kimberly Flynn,Sean Hagerty,Drama,1995,,,30000.0,,,,,,,,0
Richard III,Richard Loncraine,Stephen Bayly,MGM,Peter Biziou,Ian McKellen,Annette Bening,Robert Downey Jr.,Nigel Hawthorne,Maggie Smith,Adaptation,1995,,2427906.0,23000000.0,,Foreign-born,Europe,United Kingdom,Male,Caucasian,,1
Ricky Rosen's Bar Mitzvah,Mark Earl Burman,Mark Earl Burman,,,Aaron Greenberg,Mindy Gadson,Bobby Chimera,Stefan Rudnicki,Allen Joseph,Comedy,1995,,,,,,,,,,,0
Ride For Your Life,Bob Bejan,Bill Franzblau,Interfilms,Daniel Shulman,Adam West,Betty Buckley,Tyrone Henderson,Matthew Lillard,Amy Hargreaves,,1995,,,,,,,,,,,0
Riders in the Storm,Charles Biggs,Peter Davy,FilmHaus Releasing,Massimo Zeri,Bo Hopkins,Kimberly Dawson,Michael Horse,Morgan Brittany,Crystal Owen,Drama,1995,,,,,,,,,,,0
Rift,Edward S Barkin,Gabriel J Fischbarg,Phaedra Cinema,Lee Daniel,Bill Sage,Timothy Cavanaugh,Jennifer Bransford,Alan Davidson,,Adaptation,1995,,,,,,,,,,,0
Rigoletto,Leo Paur,Don Judd,,T C Christensn,Joseph Paur,Ivey Lloyd,John Huntington,Mason Ben,Cynthia Jump,Drama,1995,,,,,,,,,,,0
Ring of Fire III: Lion Strike,,Joseph Merhi,,,"Don ""The Dragon"" Wilson",Jonathan Wilson,Bobbie Phillips,Robert Costanzo,,Action,1995,,,,,,,,,,,0
Ripper Man,Phil Sears,Aaron Norris,,Blake T. Evans,Mike Norris,Timothy Bottoms,Sofia Shinas,Robert Lyons,Charles Napier,Action,1995,,,,,,,,,,,0
River of Grass,Kelly Reichardt,Jesse Hartman,Strand Releasing,Jim Denault,Lisa Donaldson Bowman,Larry Fessenden,Dick Russell,Michael Buscemi,Stan Kaplan,Drama,1995,,7537.0,,,Native-born,North America (US),US,Female,,,0
River of Stone,David Z McMahon,L K DuBuisson,,Ricardo Gonzales,George Kennedy,Philip Michael Thomas,G Gordon Liddy,G.D. Spradlin,Tara Schaefer,Adventure,1996,,,4000000.0,,,,,,,,1
Road Movie,N Claire Adas,N Claire Adas,,John Sawyer,Rhonda Reeves,Jack LeFeit,Bobbie Phillips,,,Drama,1995,,,,,,,,,,,0
Roommates,Peter Yates,Ted Field,Walt Disney,Mike Southon,Peter Falk,D.B. Sweeney,Julianne Moore,Ellen Burstyn,Jan Rubes,Comedy,1995,,12093556.0,25800000.0,,Foreign-born,,,,,,1
Roosters,Robert M Young,Susan Block-Reiner,IRS Releasing,Reynaldo Villalobos,Edward James Olmos,Sónia Braga,Maria Conchita Alonso,Danny Nucci,Sarah Lassez,Adaptation,1995,,2489.0,1850000.0,,Native-born,North America (US),US,,,,1
Round Eyes In the Middle Kingdom,Ronald Levaco,Ronald Levaco,,Antonio Luiz-Mendez,,,,,,Documentary,1995,,,,,,,,,,,0
Roy Cohn/Jack Smith,Jill Godmilow,Jonathan Demme,Strand Releasing,Ellen Kuras,Ron Vawter,Coco McPherson,,,,Adaptation,1995,,,,,,,,,,,0
Rumplestiltskin,Mark Jones,Michael Prescott,Legacy Releasing Corporation,Douglas Milsome,Max Grodenchik,Kim Johnston Ulrich,Tommy Blaze,Allyce Beasley,,Horror,1995,,,,,,,,,,,0
Running Wild,Philippe Blot,Philippe Blot,,Raphael Smadja,Jennifer Barker,Daniel Dupont,Daniel Spector,Eliot Keener,,Comedy,1995,,,3000000.0,,,,,,,,0
Russia on the Run,Steve Malkenson,Steve Malkenson,,,,,,,,Documentary,1995,,,,,,,,,,,0
Ruta Awakening,Steve Bilich,Steve Bilich,,Phil Curry,Denia Ridley,John Ellison,Glen B Svendrowski,Euan MacDonald,Nancy Reed,Comedy,1995,,,,,,,,,,,0
S.F.W.,Jefery Levy,Dale Pollock,Gramercy,Peter Deming,Stephen Dorff,Reese Witherspoon,Jake Busey,Joey Lauren Adams,Pamela Gidley,Adaptation,1995,,44227.0,16000000.0,,Native-born,North America (US),US,,,,1
Sabrina,Sydney Pollack,Scott Rudin,Paramount Pictures,Giuseppe Rotunno,Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand,John Wood,Adaptation,1995,,51635430.0,28000000.0,58000000.0,Native-born,North America (US),US,,,33641681.0,1
Sacred Hearts,Patrick O'Connor,Patrick O'Connor,,Dana Kupper,Kelly Fritz,Douglass Hubbell,Marlene May,Jeremy Beck,Wendy Jewell,Drama,1995,,,,,,,,,,,0
Safe,Todd Haynes,Christine Vachon,Sony Pictures,Alex Nepomniaschy,Julianne Moore,Xander Berkeley,Dean Norris,Julie Burgess,Ronnie Farer,Drama,1995,,15830.0,1750000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Salvaged Lives,Barbara Leibovitz,Barbara Leibovitz,Panorama Entertainment,Jamie Maxtone-Graham,,,,,,Documentary,1995,,,,,,,,,,,0
Savage,Avi Nesher,Avi Nesher,Republic Pictures Productions,Peter Fernberger,Olivier Gruner,Jennifer Grant,Kario Salem,Sam McMurray,Kristin Minter,Action,1996,,,,,Foreign-born,Asia,Israel,Male,Caucasian,,0
Scanners: The Showdown,Steve Barnett,Pierre David,Republic Pictures Productions,Thomas Jewett,Dan Quinn,Patrick Kilpatrick,Krystyne Haje,Robert Forster,Stephen Mendel,Action,1995,,,,,,,,,,,1
Scene of the Crime,Terence H Winkless,Mike Elliott,,Christopher Baffa),Ben Gazzara,Alex McArthur,Renee Allman,Terri Treas,David Yost,Thriller,1996,,,,,,,,,,,0
Screenplay,Adam Winston,Adam Winston,,Carlos Montaner,Sean Gavigan,David Coburn,Kathryn Morris,Kristofer Lindquist,,Comedy,1996,,,,,,,,,,,0
Search and Destroy,David Salle,Martin Scorsese,October Films,Bobby Bukowski,Griffin Dunne,Illeana Douglas,Christopher Walken,Dennis Hopper,John Turturro,Adaptation,1995,,,1500000.0,,,,,,,,1
Secret Games 3,Gregory Dark,Andrew Garroni,,Wally Pfister,Woody Brown,Rochelle Swanson,May Karasun,Dean Scofield,Brenda Swanson,Other,1995,,,,,Native-born,North America (US),US,,,,0
Seeking the Cafe Bob,Jeff Stolhand,Ken Lewin,,William Ambrico,Christian Zimmerman,Michael Dalman,Roger Harrell,Dee-Dee Stirneman,Tonie Perensky,Comedy,1995,,,,,,,,,,,0
Selected Models,Michael Schroeder,Brad Krevoy,,Jacek Laskus),Rick Rossovich,Paul Sorvino,Corbin Bernsen,Elliott Gould,Courtney Taylor,Thriller,1995,,,,,,,,,,,0
Sense and Sensibility,Ang Lee,Lindsay Doran,Sony Pictures,Mick Coulter,,,,,,Drama,1995,,42012569.0,32000000.0,16500000.0,Foreign-born,Asia,Taiwan,Male,Asian,92000000.0,0
Separate Lives,David Madden,Diane Nabatoff,Trimark,Kees van Oostrum,Jim Belushi,Linda Hamilton,Vera Miles,Elisabeth Moss,Drew Snyder,Thriller,1995,,326201.0,10000000.0,,,,,,,,1
Seven,David Fincher,Arnold Kopelson,Alliance Films,Darius Khondji,Morgan Freeman,Brad Pitt,Gwyneth Paltrow,R. Lee Ermey,Richard Roundtree,Crime,1995,,100123974.0,31000000.0,,Native-born,North America (US),US,,,,1
Shatter Dead,Scooter McRae,,,,Stark Raven,,,,,Horror,1995,,,,,,,,,,,0
She Lives to Ride,Alice Stone,Alice Stone,Artistic License Films,Maryse Alberti,The Cobras,,,,,Documentary,1995,,,,,,,,,,,0
Shenanigans,Eric Galler,Eric Galler,,Todd Pike,Joseph Herbert,Lisa Jimas,I Morbid,,,Comedy,1995,,,,,,,,,,,0
Showgirls,Paul Verhoeven,Alan Marshall,MGM,Jost Vacano,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Glenn Plummer,Robert Davi,Drama,1995,,19349227.0,40000000.0,40000000.0,Foreign-born,Europe,Netherlands,Male,Caucasian,17400000.0,0
Shut Yer Mouth!,Fraser Bresnahan,Heather Winters,,Jonathan Herron,Colleen Quinn,Michael Louis Wells,Ben Bode),Matthew Weiss,Bruce McCarty,Drama,1995,,,,,,,,,,,0
Siao Yu,Sylvia Chang,,,Joe DeSalvo),Rene Liu,Daniel J Travanti,Chung Hua Tow,Marj Dusay,Jody Long,Adaptation,1995,,,,,Foreign-born,Asia,Taiwan,Female,,,0
Signal to Noise Part II: TV Reality?,Cara Mertes,,,,,,,,,Documentary,1995,,,,,,,,,,,0
Silent Hunter,Fred Williamson,Claudio Castravelli,,Curtis Petersen,Miles O'Keefe,Fred Williamson,Peter Colvey,Lynne Adams,Jason Cavalier,Action,1995,,,,,,,,,,,0
Sister Sessions,Florante Galvez,H.M. Coakley,,,Ivy Bittle,Florence Walker,Meg Jackson,,,Drama,1995,,,,,,,,,,,0
Ski School II,David Mitchell,David Mitchell,,David Pelletier,Dean Cameron,Heather Campbell,Bil Dwyer,,,Action,1995,,,,,Native-born,North America (US),US,,,,0
Skyscraper,Raymond Martino,Richard Pepin,,Frank Harris,Anna Nicole Smith,Richard Steinmetz,Charles Huber,Branko Cikatic,Jonathan Fuller,Action,1996,,,,,,,,,,,0
Slam Dunk Ernest,John R Cherry III,Stacy Williams,,David Geddes,Jim Varney,Jay Brazeau,Kareem Abdul-Jabbar,,,Comedy,1995,,,,,,,,,,,0
Sleepstalker: The Sandman's Last Rites,Turi Meyer,Luigi Cingolani,,,Jay Underwood,Kathryn Morris,Michael Harris,,,Thriller,1995,,,,,,,,,,,0
Slings and Arrows,Geoffrey Sharp,,,,Marcus Naylor,Stacy Highsmith,Yelba Osorio,Claire Winters,Heather Gottlieb,Crime,1995,,,,,,,,,,,0
Smoke,Wayne Wang,Kenzo Horikoshi,Miramax,Adam Holender,Giancarlo Esposito,José Zúñiga,Stephen Gevedon,Harvey Keitel,Jared Harris,Comedy,1995,,8285712.0,16000000.0,,Foreign-born,Asia,Hong Kong,Male,Asian,5500000.0,1
Solar Force,Boaz Davidson,Danny Lerner,,Avi Karpick,Michael Paré,Billy Drago,Walker Brandt,,,Sci-Fi,1995,,,,,Foreign-born,,Israeli,,,,0
Someone To Die For,Clay Borris,James Shavick,,Barry Gravelle,Corbin Bernsen,Ally Walker,Rob Stewart,,,Action,1995,,,,,,,,,,,0
Something to Talk About,Lasse Hallström,Anthea Sylbert,Warner Bros.,Sven Nykvist,Julia Roberts,Dennis Quaid,Robert Duvall,Gena Rowlands,Kyra Sedgwick,Comedy,1995,,49689080.0,28000000.0,,Foreign-born,Europe,Sweden,Male,Caucasian,26441637.0,1
Sometimes They Come Back... Again,Adam Grossman,Michael Meltzer,,Steven Douglas Smith,Michael Gross,Hilary Swank,Jennifer Elise Cox,Alexis Arquette,Michael Stadvec,Horror,1996,,,3000000.0,,,,,,,,1
South Beach Academy,Joe Esposito,Bob Gallagher,,Wes Llewellyn,Corey Feldman,Al Lewis,James Hong,Keith Colouris,Elizabeth Kaitan,Comedy,1996,,,,,,,,,,,0
Species,Roger Donaldson,Frank Mancuso Jr.,MGM,Andrzej Bartkowiak,Ben Kingsley,Michael Madsen,Alfred Molina,Forest Whitaker,Marg Helgenberger,Action,1995,,58675463.0,25000000.0,35000000.0,Foreign-born,Oceania,Australia,Male,Caucasian,53300000.0,1
Spin,Brian Springer,,,,,,,,,,1995,,,,,Native-born,North America (US),US,,,,0
Spiraling and Spoiling,G M Auletta,,,,,,,,,Experimental,1995,,,,,,,,,,,0
Spirit Lost,Neema Barnette,Tim Reid,,Yuri Neyman,Regina Taylor,Leon Robinson,James L. Avery,Cynda Williams,Juanita Jennings,Adaptation,1996,,,,,Native-born,North America (US),US,,,,0
Star Crossed,Bret Stern,Barbara Steel,,Steve Arthur,Bill Fussell,Helen Geisler,,,,Drama,1995,,,,,,,,,,,0
Starlight,Jonathan Kay,Jonathan Kay,Astral Films,David Frazee,Rae Dawn Chong),Willie Nelson,Billy Wirth,Jim Byrnes,Alex Diakun,Adventure,1996,,,,,,,,,,,0
Starting Place,Robert Kramer,Ruben Korenfeld,Interama,Robert Kramer,Viet Tung,,,,,Documentary,1995,,,,,,,,,,,0
"Steal Big, Steal Little",Andrew Davis,Andrew Davis,20th Century Fox,Frank Tidy,Andy Garcia,Alan Arkin,Rachel Ticotin,Joe Pantoliano,Holland Taylor,Comedy,1995,,2806304.0,35000000.0,,Native-born,North America (US),US,,,,1
Stealin' Home,John Carstarphen,John Carstarphen,,John Carstarphen,Phyllis Cicero,Lloyd Barnes,Marc Taylor,Laurel Hoitsma,Annette Luckett-Brooks,Comedy,1995,,,,,,,,,,,0
Steel Frontier,,Joseph Merhi,,,Joe Lara,Bo Svenson,Stacie Foster,Brion James,,Action,1995,,,,,,,,,,,0
Sticks and Stones,Neil Tolkin,Harel Goldstein,RHI Entertainment,Avi Karpick,Kirstie Alley,Gary Busey,Matt McCoy,Ann Hearn,Erika Gimbel,Drama,1996,,,4500000.0,,,,,,,,1
"Stone, Scissors, Paper",Stephen Whittaker,Laurence Bowen,,Ernest A. Vincze,Juliet Stevenson,Ken Stott,Melanie Kilburn,Ian Dunn,John Bowler,Comedy,1996,,,,,Foreign-born,,British ,,,,0
Straight to the Heart,Eric Vaterlaus,,,Mark W Gray,Moira Brennan,Dan Meyer,Karey Cawley,,,Drama,1995,,,,,,,,,,,0
Strange Days,Kathryn Bigelow,James Cameron,20th Century Fox,Matthew Leonetti,,,,,,Action,1995,,7333199.0,42000000.0,,Native-born,North America (US),US,Female,Caucasian,,0
Street Corner Justice,Chuck Bail,Jack Brown,,Doug O'Neons,Marc Singer),Steve Railsback,Kim Lankford,Willie Gee,"Tommy ""Tiny"" Lister Jr.",Crime,1996,,,,,,,,,,,0
Striking Point,Thomas Hartigan Fenton,Bret McCormick,,,Chris Mitchum,Ivan Rodgers,Tracy Spaulding,Stan L Morse,Jeff Blanchard,Crime,1995,,,,,,,,,,,0
Stripshow,Gary Orona,David Fresilli,,Roger Olowsky,Tané McClure,Monique Parent,Steven Tietsort,,,Drama,1995,,,,,,,,,,,0
Stripteaser,Dan Golden,,,,Maria Ford,Rick Dean,,,,Thriller,1995,,,,,,,,,,,0
Struggles in Steel,Tony Buba,Tony Buba,,John Rice,,,,,,Documentary,1996,,,,,,,,,,,0
Stuart Saves His Family,Harold Ramis,Lorne Michaels,Paramount Pictures,Lauro Escorel,Al Franken,Laura San Giacomo,Vincent D'Onofrio,Shirley Knight,Harris Yulin,Adaptation,1995,,718496.0,23000000.0,,,,,,,,0
